trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
338,False,"{'a': 0.01, 'e': 0.03404745473459935}",20,7,18.199042260086895,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.01, 'e': 0.0337086768995724}",25,0,20.64679808593044,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
340,False,"{'a': 0.01, 'e': 0.03337326996032609}",20,0,-13.070944997858708,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
341,False,"{'a': 0.01, 'e': 0.03304120037588694}",25,6,31.67105957316841,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.01, 'e': 0.03271243493901982}",20,4,27.999471364424046,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.01, 'e': 0.03238694077290704}",30,19,20.808228294672173,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.01, 'e': 0.032064685327860776}",30,5,39.50140678846471,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.01, 'e': 0.031745636378067946}",25,8,29.403532475203036,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.01, 'e': 0.03142976201836772}",20,0,-20.923283958464122,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
347,False,"{'a': 0.01, 'e': 0.031117030661060866}",20,9,7.9157858091650155,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
348,False,"{'a': 0.01, 'e': 0.030807411032751083}",20,0,26.61390143847987,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
349,False,"{'a': 0.01, 'e': 0.030500872171217486}",20,0,14.96570864073483,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
350,False,"{'a': 0.01, 'e': 0.030197383422318508}",25,19,8.083909427682057,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.01, 'e': 0.029896914436926315}",20,0,18.124145254976064,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
352,False,"{'a': 0.01, 'e': 0.029599435167892006}",35,16,31.913855442628265,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.01, 'e': 0.029304915867040753}",20,0,-21.052436992807667,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
354,False,"{'a': 0.01, 'e': 0.02901332708219706}",30,18,20.79267446096951,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.01, 'e': 0.028724639654239426}",20,1,25.077565132066475,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.01, 'e': 0.02843882471418451}",30,20,20.31299436464696,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.01, 'e': 0.0281558536803001}",20,4,26.122398035049592,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.01, 'e': 0.027875698255247022}",25,0,36.48479670647955,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
359,False,"{'a': 0.01, 'e': 0.027598330423249294}",20,14,11.323521853435983,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.01, 'e': 0.027323722447292562}",20,14,12.579478722446362,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.01, 'e': 0.02705184686635042}",30,0,41.78653502197202,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
362,False,"{'a': 0.01, 'e': 0.02678267649263818}",20,14,13.852870813346932,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.01, 'e': 0.026516184408894188}",25,5,33.56527983891765,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.01, 'e': 0.026252343965687965}",20,4,21.48866587601014,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.01, 'e': 0.02599112877875535}",20,11,18.38952478245127,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.01, 'e': 0.025732512726359947}",20,10,18.094031005587585,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
367,False,"{'a': 0.01, 'e': 0.025476469946681023}",25,13,18.40644756674657,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.01, 'e': 0.025222974835227216}",25,0,40.487075467597165,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
369,False,"{'a': 0.01, 'e': 0.024972002042276162}",25,0,16.752911724213824,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
370,False,"{'a': 0.01, 'e': 0.02472352647033939}",20,10,19.845697563533587,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.01, 'e': 0.024477523271652674}",30,18,23.766616107831894,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.01, 'e': 0.024233967845691116}",25,0,39.283018485828556,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
373,False,"{'a': 0.01, 'e': 0.02399283583670918}",20,8,20.048420281988015,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
374,False,"{'a': 0.01, 'e': 0.023754103131305}",30,0,34.604569131021435,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
375,False,"{'a': 0.01, 'e': 0.023517745856009114}",30,2,44.30585401690322,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.01, 'e': 0.023283740374897003}",30,20,19.61002937265304,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.01, 'e': 0.023052063287225574}",30,13,29.9881491847541,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.01, 'e': 0.022822691425092974}",25,13,19.786573394064092,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.01, 'e': 0.022595601851121867}",20,6,25.38353840224594,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
380,False,"{'a': 0.01, 'e': 0.022370771856165594}",20,0,23.99324067644208,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
381,False,"{'a': 0.01, 'e': 0.02214817895703732}",25,4,17.59333873439488,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
382,False,"{'a': 0.01, 'e': 0.021927800894261613}",25,0,39.21540603645054,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
383,False,"{'a': 0.01, 'e': 0.021709615629848574}",30,22,13.079565161935005,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.01, 'e': 0.021493601345089926}",25,2,25.188491526440064,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
385,False,"{'a': 0.01, 'e': 0.021279736438377172}",25,0,30.807775922926027,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
386,False,"{'a': 0.01, 'e': 0.021067999523041437}",35,25,15.451629023540484,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.01, 'e': 0.020858369425214723}",20,0,25.520487573486562,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
388,False,"{'a': 0.01, 'e': 0.02065082518171257}",25,13,20.948462080092764,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.01, 'e': 0.02044534603793766}",20,3,27.0021723247673,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.01, 'e': 0.020241911445804395}",20,3,33.87513357730188,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
